cluster,sessions,duration,total_data_volume
3,1.0,27021.0,523503990.0
3,1.0,38416.0,610241599.0
0,1.0,96870.0,380986673.0
2,1.0,146776.0,822215574.0
3,1.0,36134.0,800846811.0
3,1.0,86399.0,584681777.0
1,2.0,305902.0,1084507475.0
2,1.0,245071.0,903544558.0
0,1.0,97413.0,177275410.0
0,1.0,22279.0,299190812.0
2,1.0,153537.0,475918445.0
3,1.0,96830.0,741591222.0
0,1.0,124010.0,553241501.0
0,1.0,17723.0,392195687.0
1,3.0,133785.0,1589874262.0
3,1.0,19824.0,827748554.0
3,1.0,38870.0,534331423.0
3,1.0,26482.0,756680328.0
1,2.0,263235.0,954616231.0
3,1.0,104808.0,787705056.0
1,2.0,44857.0,1411749025.0
3,1.0,55742.0,615411712.0
1,2.0,60455.0,1593788012.0
0,1.0,126825.0,205434854.0
0,1.0,35999.0,251747623.0
0,1.0,124862.0,396220624.0
0,1.0,92864.0,578357828.0
0,1.0,92873.0,311497910.0
3,1.0,97644.0,642643911.0
3,1.0,57947.0,699222101.0
1,2.0,48465.0,1126198437.0
3,1.0,103359.0,705893456.0
2,1.0,151579.0,903438457.0
1,2.0,201932.0,994865033.0
3,1.0,16778.0,680465109.0
0,1.0,58646.0,244515262.0
0,1.0,31416.0,487817858.0
2,1.0,158946.0,363426291.0
0,1.0,17281.0,93126515.0
1,2.0,28885.0,877939510.0
3,1.0,105309.0,832513137.0
3,1.0,86399.0,865482964.0
1,3.0,179066.0,1523764879.0
0,2.0,64197.0,413858392.0
2,1.0,168200.0,379137921.0
0,1.0,85670.0,546265833.0
0,1.0,129298.0,110823269.0
1,3.0,322912.25,1476088179.0
3,1.0,30651.0,850022647.0
1,2.0,83965.0,632744673.0
2,1.0,245071.0,785531969.0
1,2.0,322912.25,782198975.0
0,1.0,54401.0,408004436.0
1,2.0,322912.25,1265959811.0
1,2.0,191237.0,521487633.0
1,2.0,266805.0,657020868.0
2,1.0,168731.0,717499703.0
0,1.0,56079.0,395885422.0
1,2.0,69868.0,478692120.0
1,3.5,322912.25,1604235968.625
1,2.0,200889.0,540815566.0
0,1.0,105271.0,274050935.0
1,2.0,146202.0,945337731.0
0,1.0,134329.0,337566027.0
1,2.0,265113.0,897087551.0
3,1.0,86399.0,839343732.0
2,1.0,245071.0,113076568.0
3,1.0,86338.0,781258236.0
0,1.0,86399.0,309108019.0
0,1.0,106011.0,295017796.0
1,2.0,208438.0,1155571633.0
0,1.0,86400.0,502646416.0
1,3.5,322912.25,1604235968.625
2,1.0,245071.0,585267384.0
0,1.0,70250.0,116225709.0
1,2.0,90305.0,900663626.0
1,2.0,198481.0,1309828860.0
1,2.0,34850.0,1078981223.0
1,2.0,78110.0,539408988.0
2,1.0,245071.0,384279837.0
0,1.0,84319.0,139978005.0
0,1.0,95234.0,369139374.0
2,1.0,170212.0,674308866.0
0,1.0,71534.0,461662229.0
0,1.0,100276.0,507047442.0
1,2.0,147000.0,1045321374.0
0,1.0,86399.0,320798954.0
0,1.0,61045.0,132412641.0
3,1.0,83808.0,898950713.0
1,2.0,46871.0,1502292101.0
0,1.0,86399.0,320207032.0
3,1.0,25171.0,609992455.0
0,1.0,65433.0,297541759.0
3,1.0,86269.0,631014976.0
3,1.0,86399.0,734820647.0
1,2.0,322912.25,837073653.0
1,2.0,78511.0,777494970.0
2,1.0,245071.0,657697139.0
1,2.0,247160.0,930514905.0
2,1.0,178077.0,884850752.0
2,1.0,180052.0,135076751.0
1,2.0,68638.0,1341815131.0
0,1.0,142702.0,341810587.0
0,1.0,18650.0,97809692.0
1,3.0,322912.25,1422400876.0
3,1.0,108503.0,729772357.0
1,2.0,24776.0,755379637.0
2,1.0,154997.0,364327295.0
2,1.0,245071.0,305731650.0
0,1.0,76584.0,408551523.0
0,1.0,56458.0,136720948.0
0,1.0,49206.0,330681151.0
0,1.0,86114.0,209196781.0
3,1.0,21034.0,671374845.0
1,2.0,106874.0,1074274542.0
3,1.0,126703.0,834319685.0
3,1.0,86522.0,773224633.0
1,2.0,213916.0,767901353.0
0,1.0,108792.0,538496574.0
0,1.0,85527.0,252699578.0
0,1.0,29177.0,406348602.0
1,3.0,322912.25,1604235968.625
1,2.0,169162.0,1175815353.0
1,3.0,322912.25,1344887649.0
3,1.0,42457.0,756735963.0
0,1.0,122338.0,466891851.0
2,1.0,178899.0,795750444.0
2,1.0,224602.0,439914119.0
2,1.0,139855.0,749940716.0
2,1.0,244600.0,869424691.0
3,1.0,90486.0,834312543.0
0,1.0,81945.0,340299924.0
0,1.0,57521.0,198859629.0
3,1.0,86399.0,719585133.0
1,3.0,302096.0,1604235968.625
3,1.0,7898.0,611700074.0
3,1.0,78345.0,575521301.0
1,2.0,308979.0,887477527.0
3,1.0,94356.0,752154443.0
3,1.0,95536.0,644440869.0
2,1.0,245071.0,839055617.0
0,1.0,13853.0,122950839.0
3,1.0,23032.0,911646172.0
0,1.0,86399.0,229362571.0
1,2.0,96275.0,1245717733.0
0,1.0,19270.0,113531583.0
0,1.0,22038.0,372915320.0
3,1.0,97573.0,614294423.0
2,1.0,153531.0,911876664.0
2,1.0,175434.0,533923475.0
2,1.0,160888.0,239270295.0
0,1.0,13968.0,206499513.0
1,3.5,322912.25,1604235968.625
1,2.0,322912.25,1491254882.0
3,1.0,130810.0,728558374.0
3,1.0,86399.0,647412744.0
1,2.0,47157.0,816830960.0
2,1.0,154767.0,628441626.0
0,1.0,86399.0,258506293.0
0,1.0,47730.0,208369604.0
3,1.0,63029.0,608218821.0
3,1.0,94427.0,920784504.0
0,1.0,34694.0,116841488.0
2,1.0,245071.0,663408799.0
0,1.0,70695.0,141736598.0
1,3.0,322912.25,1516223538.0
0,1.0,91971.0,325336012.0
0,1.0,93748.0,225751000.0
1,3.0,322912.25,1464454791.0
3,1.0,129474.0,821022701.0
1,2.0,184529.0,928795438.0
1,2.0,203402.0,672715105.0
1,2.0,245837.0,1604235968.625
1,2.0,160301.0,1486021974.0
2,1.0,166463.0,139901474.0
0,1.0,88506.0,188330223.0
3,1.0,29948.0,650378848.0
3,1.0,18912.0,668164753.0
2,1.0,135178.0,764300199.0
2,1.0,166134.0,174653240.0
1,2.0,52165.0,1193701021.0
2,1.0,145241.0,489831919.0
3,1.0,98472.0,588938487.0
1,2.0,86799.0,1187412509.0
2,1.0,219223.0,424622407.0
0,1.0,40263.0,390112090.0
0,1.0,38503.0,339616950.0
3,1.0,52478.0,900610946.0
1,2.0,120298.0,1587337140.0
2,1.0,176022.0,178330679.0
0,1.0,127918.0,334691441.0
1,2.0,82590.0,1315473749.0
1,2.0,176459.0,1335339310.0
0,1.0,86780.0,437461975.0
1,2.0,293781.0,891842854.0
0,1.0,45168.0,346317918.0
1,2.0,102294.0,838494582.0
3,1.0,86149.0,636078842.0
1,2.0,146442.0,921079874.0
3,1.0,15573.0,770545876.0
0,1.0,41563.0,243883884.0
3,1.0,17357.0,868143871.0
1,2.0,91605.0,1307441490.0
0,1.0,84530.0,373583831.0
3,1.0,23924.0,638700866.0
0,1.0,49652.0,77619160.0
1,2.0,41658.0,1147058634.0
2,1.0,164069.0,223473111.0
1,2.0,276398.0,1505997167.0
2,1.0,187471.0,690936319.0
0,1.0,80316.0,352702690.0
3,1.0,21338.0,658536457.0
1,3.0,70315.0,1604235968.625
3,1.0,23792.0,853181352.0
1,3.0,144628.0,1604235968.625
1,3.5,264051.0,1604235968.625
2,1.0,176137.0,839680355.0
2,1.0,245071.0,270329964.0
0,2.0,78044.0,318255709.0
1,2.0,237126.0,1422684625.0
0,1.0,35546.0,291004709.0
2,1.0,245071.0,504967943.0
0,1.0,98475.0,303815914.0
1,2.0,169132.0,1132035517.0
0,1.0,74955.0,312344192.0
2,1.0,171136.0,189216613.0
0,1.0,38070.0,260723899.0
1,2.0,169838.0,756846030.0
0,1.0,61154.0,400801226.0
3,1.0,58191.0,637760757.0
3,1.0,23187.0,661774305.0
1,2.0,254065.0,1273499859.0
3,1.0,65381.0,674162584.0
2,1.0,165473.0,292814323.0
0,1.0,111147.0,572663644.0
3,1.0,28197.0,665641241.0
0,1.0,99614.0,148093459.0
0,1.0,130393.0,503347831.0
0,1.0,12670.0,66544152.0
1,2.0,322912.25,1439800734.0
3,1.0,86399.0,684377450.0
0,1.0,134931.0,199615689.0
0,1.0,99068.0,380878947.0
0,1.0,127884.0,322797185.0
1,2.0,292303.0,947667251.0
0,1.0,85325.0,302908850.0
2,1.0,148750.0,378989988.0
2,1.0,140448.0,515268402.0
1,2.0,62734.0,460944937.0
2,1.0,205093.0,775219388.0
2,1.0,159678.0,203202202.0
3,1.0,85747.0,777362628.0
1,2.0,81912.0,1604235968.625
1,3.0,141133.0,1432739669.0
2,1.0,197741.0,388110340.0
3,1.0,53083.0,844327131.0
0,1.0,95152.0,512409371.0
2,1.0,210269.0,189637856.0
0,1.0,86399.0,549544496.0
3,1.0,99252.0,792132617.0
0,1.0,62667.0,244159764.0
1,2.0,209542.0,487887892.0
1,2.0,101646.0,1402001132.0
0,1.0,102581.0,539596039.0
0,1.0,139872.0,379181523.0
1,2.0,322912.25,847371705.0
1,2.0,322912.25,539049198.0
2,1.0,174484.0,681995370.0
1,2.0,228696.0,1029291793.0
2,1.0,179289.0,742739844.0
0,1.0,39403.0,122104573.0
0,1.0,66867.0,424197423.0
3,1.0,8420.0,494657434.0
1,2.0,186012.0,1402429432.0
0,1.0,127639.0,517203228.0
2,1.0,146607.0,781831444.0
1,3.5,322912.25,1604235968.625
3,1.0,72396.0,790356298.0
2,1.0,190979.0,633009481.0
2,1.0,168158.0,413999952.0
3,1.0,86399.0,816781377.0
0,1.0,101637.0,195907652.0
1,3.0,322912.25,885282187.0
1,2.0,136896.0,710018289.0
0,1.0,100857.0,553308450.0
0,1.0,90092.0,94942554.0
3,1.0,114977.0,677487090.0
2,1.0,245071.0,126495007.0
0,1.0,107837.0,183613054.0
0,1.0,80392.0,448139447.0
0,1.0,19912.0,376853626.0
3,1.0,23393.0,692601647.0
3,1.0,123319.0,756592331.0
2,1.0,184723.0,867555902.0
0,1.0,16137.0,312002528.0
3,1.0,86400.0,815581373.0
2,1.0,160277.0,916331296.0
1,2.0,122763.0,1063869002.0
3,1.0,124981.0,690246309.0
1,2.0,202953.0,981478642.0
0,1.0,23051.0,143723332.0
3,1.0,86376.0,577273628.0
0,1.0,108785.0,393708678.0
0,1.0,104930.0,336013897.0
3,1.0,86354.0,634033380.0
1,2.0,174344.0,1202959160.0
3,1.0,64915.0,777082556.0
3,1.0,51373.0,603521757.0
1,2.0,192087.0,1345489442.0
0,1.0,60700.0,450015688.0
0,1.0,34841.0,318153952.0
3,1.0,27302.0,852740498.0
0,1.0,123597.0,205925520.0
1,2.0,86613.0,1417655965.0
2,1.0,245071.0,671384827.0
2,1.0,175969.0,168819097.0
1,2.0,69870.0,937975767.0
2,1.0,244997.0,133764933.0
3,1.0,86399.0,794710195.0
2,1.0,162500.0,619854706.0
3,1.0,118044.0,785778788.0
3,1.0,114735.0,652511212.0
1,3.5,322912.25,1604235968.625
0,1.0,146257.0,209265618.0
2,1.0,182148.0,490814508.0
1,2.0,161905.0,1215877287.0
0,1.0,27190.0,120235970.0
1,2.0,34737.0,935264811.0
3,1.0,67515.0,820110302.0
1,2.0,322912.25,1033180705.0
1,2.0,179825.0,1188139904.0
1,2.0,182274.0,879465364.0
0,1.0,86344.0,265146261.0
0,1.0,125088.0,501284396.0
0,1.0,19727.0,399763568.0
2,1.0,154762.0,569350255.0
2,1.0,245071.0,734343356.0
1,2.0,252032.0,1091965444.0
3,1.0,45968.0,918503893.0
1,3.0,322912.25,1604235968.625
2,1.0,146053.0,691226245.0
0,1.0,23973.0,478416527.0
2,1.0,170867.0,866465305.0
0,1.0,123008.0,440702229.0
0,1.0,11555.0,144489234.0
1,2.0,171143.0,991955766.0
2,1.0,245071.0,155629544.0
1,3.0,253422.0,1039310094.0
3,1.0,30533.0,791689211.0
0,1.0,26811.0,260124753.0
3,1.0,17287.0,800183634.0
1,2.0,166868.0,1558923922.0
2,1.0,163476.0,338944160.0
1,2.0,193458.0,1379758139.0
1,3.0,322912.25,618687563.0
0,1.0,87699.0,512124431.0
0,1.0,37591.0,392173455.0
3,1.0,40713.0,581141873.0
3,1.0,87115.0,800918464.0
0,1.0,91041.0,458997904.0
1,3.0,279183.0,1329860205.0
1,2.0,76155.0,1128928644.0
1,3.0,207875.0,1604235968.625
1,2.0,57967.0,1086147541.0
1,2.0,234223.0,1120324295.0
0,1.0,123090.0,227349485.0
0,1.0,108154.0,180907120.0
1,2.0,239845.0,1442090974.0
0,1.0,43708.0,371037616.0
1,2.0,30733.0,1175290989.0
1,2.0,103241.0,1105751471.0
2,1.0,245071.0,393477688.0
3,1.0,25862.0,867423286.0
3,1.0,86400.0,905431533.0
1,3.0,50982.0,1430079530.0
1,2.0,141731.0,1041018295.0
3,1.0,113962.0,762822769.0
0,1.0,16283.0,391530656.0
1,3.0,313621.0,1307551435.0
3,1.0,62481.0,736801133.0
0,1.0,86400.0,101455070.0
0,1.0,19564.0,197752378.0
0,1.0,136546.0,140739315.0
2,1.0,215007.0,361483810.0
1,2.0,93503.0,938541068.0
3,1.0,53793.0,577872689.0
2,1.0,203407.0,306642819.0
0,1.0,103779.0,135479588.0
3,1.0,86400.0,860655879.0
0,1.0,84520.0,121106501.0
3,1.0,86397.0,612025933.0
1,3.0,162449.0,1604235968.625
0,1.0,156502.0,147830385.0
0,1.0,109095.0,104323128.0
0,2.0,45834.0,461355642.0
3,1.0,96108.0,698975427.0
1,3.0,322912.25,681833965.0
1,2.0,90346.0,1040181538.0
1,3.0,162524.0,1604235968.625
3,1.0,24032.0,852248688.0
2,1.0,177348.0,827335987.0
2,1.0,138915.0,569281090.0
1,2.0,300781.0,714152866.0
3,1.0,36173.0,893656652.0
3,1.0,13622.0,593928231.0
2,1.0,164327.0,252918869.0
0,1.0,119402.0,203186562.0
1,2.0,77141.0,526431029.0
0,1.0,39077.0,312131121.0
2,1.0,191166.0,675605170.0
1,2.0,132125.0,997391641.0
3,1.0,27928.0,833990368.0
3,1.0,136447.0,918708815.0
3,1.0,76234.0,573980085.0
3,1.0,8700.0,757975070.0
0,1.0,86399.0,490460433.0
1,2.0,67167.0,1152101179.0
2,1.0,140095.0,614824748.0
2,1.0,140295.0,740557728.0
0,1.0,98886.0,547204531.0
1,2.0,110837.0,669763410.0
0,1.0,46687.0,155340112.0
2,1.0,245071.0,469591151.0
1,3.0,274549.0,1468622917.0
0,1.0,86115.0,136829608.0
3,1.0,33357.0,575948814.0
1,2.0,172873.0,1061353820.0
1,2.0,69333.0,441677358.0
0,1.0,86399.0,492344891.0
0,1.0,25412.0,81509500.0
1,2.0,78562.0,1337944703.0
1,2.0,71869.0,1010202499.0
0,1.0,63757.0,223027271.0
3,1.0,13419.0,598651745.0
0,1.0,86400.0,303942434.0
0,1.0,96311.0,466280262.0
1,2.0,75168.0,743496469.0
3,1.0,93346.0,847660154.0
3,1.0,49273.0,664821263.0
3,1.0,15508.0,505425882.0
2,1.0,183132.0,324015526.0
3,1.0,88138.0,863206567.0
0,1.0,86399.0,125453221.0
0,1.0,25247.0,263649980.0
3,1.0,19610.0,762624339.0
2,1.0,177344.0,439433714.0
0,1.0,89053.0,139714298.0
3,1.0,86399.0,682980314.0
3,1.0,41802.0,650315903.0
0,1.0,89594.0,218518383.0
3,1.0,92748.0,902372097.0
1,2.0,217810.0,814803572.0
2,1.0,245071.0,119619168.0
1,3.0,202029.0,1604235968.625
0,1.0,86399.0,335403438.0
3,1.0,67091.0,738789980.0
0,1.0,96734.0,576796522.0
0,1.0,21167.0,137090038.0
0,1.0,51544.0,472238914.0
2,1.0,160199.0,330112242.0
1,2.0,188107.0,1022010496.0
0,1.0,14209.0,383446743.0
0,1.0,82802.0,401188193.0
1,2.0,107846.0,534994061.0
3,1.0,86399.0,868603742.0
0,1.0,23934.0,294365381.0
3,1.0,41851.0,593473728.0
0,1.0,126305.0,475419924.0
0,1.0,95972.0,183567263.0
1,2.0,197767.0,791842096.0
0,1.0,139830.0,80247863.0
3,1.0,97693.0,797547407.0
1,3.0,257614.0,1604235968.625
0,1.0,29400.0,105498178.0
1,2.0,322912.25,979809422.0
1,2.0,272048.0,843042739.0
2,1.0,162030.0,149184285.0
3,1.0,15428.0,806307661.0
0,1.0,124246.0,602218910.0
2,1.0,245071.0,294324622.0
0,1.0,98909.0,290730052.0
2,1.0,177449.0,228024643.0
2,1.0,174517.0,461582364.0
3,1.0,25736.0,853159653.0
0,1.0,81739.0,485490578.0
1,2.0,298370.0,712727891.0
0,1.0,35523.0,208645277.0
2,1.0,245071.0,209550851.0
2,1.0,183963.0,759808296.0
3,1.0,120972.0,631665182.0
2,1.0,144998.0,469098758.0
3,1.0,31911.0,905927199.0
1,2.0,322912.25,1206468078.0
1,2.0,200205.0,1391824724.0
3,1.0,86399.0,781534152.0
0,1.0,62013.0,485362881.0
0,1.0,34799.0,261282320.0
1,2.0,144291.0,1402416135.0
2,1.0,165031.0,345758305.0
1,2.0,322912.25,1125830572.0
0,1.0,80226.0,148179772.0
0,1.0,23071.0,259037853.0
3,1.0,18172.0,787396322.0
0,1.0,29172.0,311107892.0
3,1.0,15277.0,566844001.0
2,1.0,161387.0,235825476.0
0,1.0,73363.0,437450258.0
2,1.0,162790.0,627215432.0
0,1.0,86399.0,258636059.0
2,1.0,165505.0,500765472.0
2,1.0,162891.0,395627247.0
2,1.0,138951.0,633449052.0
2,1.0,170909.0,640428933.0
0,1.0,35488.0,184229290.0
0,1.0,97311.0,296545087.0
3,1.0,132257.0,819778214.0
1,2.0,120325.0,642463098.0
3,1.0,135718.0,864013225.0
0,1.0,109906.0,122304382.0
0,1.0,135968.0,446771227.0
1,2.0,317851.0,784493240.0
0,1.0,23330.0,426925335.0
0,1.0,20400.0,406248470.0
3,1.0,127699.0,676313892.0
3,1.0,49913.0,697771657.0
2,1.0,217460.0,566463790.0
0,1.0,34419.0,413398796.0
0,1.0,62884.0,231035724.0
1,2.0,184404.0,840866977.0
0,1.0,30230.0,407509381.0
1,2.0,225204.0,801475770.0
1,2.0,178458.0,646995449.0
3,1.0,79157.0,658239263.0
0,1.0,17655.0,238413593.0
3,1.0,55406.0,824743437.0
2,1.0,161736.0,800382783.0
2,1.0,145911.0,691334924.0
0,1.0,98245.0,540765006.0
0,1.0,86350.0,279633004.0
1,2.0,172150.0,1177222165.0
3,1.0,34409.0,765893298.0
2,1.0,169812.0,692670411.0
0,1.0,18479.0,430945757.0
1,2.0,38828.0,1335453787.0
3,1.0,18767.0,499288196.0
1,2.0,102193.0,448589574.0
3,1.0,86399.0,585316564.0
1,3.5,231981.0,1604235968.625
1,2.0,35217.0,1177079293.0
1,2.0,155558.0,818268781.0
1,3.0,150488.0,1604235968.625
1,2.0,99987.0,761314881.0
0,1.0,73224.0,459965295.0
2,1.0,147673.0,815639584.0
1,2.0,38778.0,653314128.0
1,2.0,102892.0,1604235968.625
1,2.0,51762.0,1503166534.0
3,1.0,128831.0,734434634.0
1,2.0,49460.0,1049384743.0
3,1.0,104273.0,637787956.0
0,1.0,117855.0,577200819.0
1,2.0,297378.0,1340669862.0
0,1.0,55766.0,426648736.0
2,1.0,134310.0,701616664.0
3,1.0,127279.0,891455906.0
0,1.0,29823.0,104390718.0
1,2.0,109436.0,959841091.0
0,1.0,86400.0,530031757.0
1,2.0,112945.0,641711071.0
1,2.0,211358.0,683763030.0
2,1.0,155915.0,391075496.0
1,2.0,268260.0,857792599.0
0,1.0,86369.0,537692738.0
3,1.0,46094.0,825261751.0
1,2.0,113184.0,1590311224.0
2,1.0,155542.0,408144776.0
3,1.0,39723.0,940397114.0
0,1.0,102526.0,579421924.0
0,1.0,25348.0,490940763.0
3,1.0,16887.0,901839829.0
1,3.5,322912.25,1604235968.625
2,1.0,151426.0,345903250.0
0,1.0,82143.0,390978726.0
1,2.0,208330.0,216646603.0
1,2.0,172799.0,612802628.0
0,1.0,113726.0,508870395.0
0,1.0,32958.0,272495813.0
3,1.0,85199.0,710036128.0
1,2.0,63436.0,828466811.0
1,2.0,322912.25,1604235968.625
2,1.0,133686.0,726752333.0
0,1.0,132454.0,378149547.0
0,1.0,55750.0,395893083.0
0,1.0,20703.0,479683422.0
3,1.0,74098.0,612287158.0
0,1.0,54501.0,479493791.0
3,1.0,14482.0,889583678.0
1,2.0,229327.0,501029610.0
0,1.0,110383.0,337524985.0
0,1.0,91576.0,149703868.0
0,1.0,20711.0,87741560.0
1,2.0,240755.0,775326222.0
3,1.0,84570.0,752450301.0
3,1.0,84954.0,705694133.0
3,1.0,80275.0,892228064.0
1,2.0,71180.0,1260735310.0
0,1.0,20090.0,65356345.0
1,3.0,322912.25,1604235968.625
0,1.0,86399.0,342753003.0
2,1.0,152580.0,842752386.0
1,3.5,322912.25,1604235968.625
1,2.0,278990.0,731017364.0
1,2.0,317549.0,306133661.0
3,1.0,7811.0,528347340.0
3,1.0,26434.0,709060275.0
3,1.0,54599.0,717336159.0
2,1.0,126881.0,596307566.0
1,2.0,281957.0,1308514354.0
2,1.0,147102.0,405741199.0
0,1.0,134219.0,450232741.0
0,1.0,17040.0,330569330.0
3,1.0,59248.0,593157242.0
2,1.0,245071.0,134403122.0
3,1.0,115261.0,794940805.0
1,2.0,322912.25,609289617.0
3,1.0,62519.0,855977946.0
2,1.0,161266.0,827803017.0
2,1.0,144160.0,465044035.0
0,1.0,133811.0,116881056.0
1,3.5,320957.0,1604235968.625
1,3.5,322912.25,1604235968.625
2,1.0,175787.0,280885760.0
1,2.0,213089.0,884272687.0
3,1.0,108016.0,641676008.0
2,1.0,238410.0,138875903.0
1,2.0,204769.0,1481898655.0
0,1.0,42797.0,266927422.0
1,2.0,98762.0,757507534.0
0,1.0,32439.0,498301818.0
1,2.0,322912.25,1074024666.0
2,1.0,155499.0,488059986.0
3,1.0,43311.0,775876085.0
2,1.0,187207.0,168349910.0
1,3.0,322912.25,1604235968.625
3,1.0,14425.0,816275095.0
3,1.0,139244.0,837361121.0
2,1.0,223949.0,519736705.0
0,1.0,95693.0,229913764.0
3,1.0,86399.0,766742884.0
2,1.0,167158.0,183682094.0
2,1.0,148426.0,579274519.0
3,1.0,122881.0,786581311.0
0,1.0,12046.0,212649988.0
2,1.0,234051.0,578655462.0
2,1.0,147947.0,667679080.0
2,1.0,233947.0,242275439.0
2,1.0,245071.0,658434402.0
0,1.0,86399.0,187007990.0
0,1.0,37770.0,269172381.0
2,1.0,156758.0,873404758.0
2,1.0,230605.0,104415753.0
3,1.0,39049.0,775802404.0
2,1.0,206953.0,114629693.0
0,1.0,90213.0,351765004.0
1,2.0,56013.0,1228182080.0
0,1.0,64468.0,141068542.0
0,1.0,127295.0,413275605.0
0,1.0,31378.0,299380773.0
1,2.0,73670.0,1450633324.0
2,1.0,193477.0,126432770.0
2,1.0,245071.0,848798988.0
2,1.0,187799.0,377246782.0
3,1.0,31703.0,822951103.0
3,1.0,86399.0,895446235.0
0,1.0,131735.0,317598306.0
1,2.0,91623.0,379837361.0
2,1.0,159488.0,620465511.0
0,1.0,23776.0,288926492.0
3,1.0,87393.0,679338242.0
1,2.0,181971.0,505466169.0
0,1.0,101880.0,156466093.0
3,1.0,82749.0,573758749.0
3,1.0,91666.0,757387159.0
0,1.0,120685.0,212685065.0
1,2.0,113597.0,1177482069.0
1,2.0,181782.0,336636306.0
1,3.0,322912.25,1604235968.625
1,2.0,124506.0,910621142.0
3,1.0,88677.0,654388279.0
2,1.0,155609.0,291013729.0
3,1.0,118599.0,677944118.0
2,1.0,245071.0,394907195.0
0,1.0,67113.0,392341520.0
3,1.0,76235.0,876197440.0
1,2.0,322912.25,1110767768.0
2,1.0,138943.0,686388849.0
3,1.0,25761.0,723131982.0
2,1.0,245071.0,616606191.0
2,1.0,144043.0,557327898.0
1,2.0,60910.0,954278473.0
1,2.0,197387.0,925005685.0
3,1.0,63623.0,607272291.0
2,1.0,174049.0,292478878.0
2,1.0,219011.0,595861672.0
2,1.0,245071.0,299180484.0
1,3.5,322912.25,1604235968.625
0,1.0,29620.0,434418856.0
0,1.0,68637.0,323598393.0
0,1.0,86400.0,183245554.0
2,1.0,177655.0,666618999.0
0,1.0,24040.0,277683624.0
0,1.0,121664.0,543623149.0
0,1.0,22557.0,238069670.0
1,2.0,66452.0,1156461067.0
1,2.0,322912.25,1243803106.0
0,1.0,30522.0,304013575.0
0,1.0,31281.0,408420438.0
2,1.0,137864.0,788888707.0
2,1.0,137370.0,603686925.0
3,1.0,86151.0,815251799.0
0,1.0,86399.0,85116729.0
3,1.0,14592.0,809090028.0
3,1.0,94079.0,696769178.0
0,1.0,25135.0,221028506.0
0,1.0,60295.0,534404094.0
1,2.0,322912.25,1033184507.0
3,1.0,24079.0,728210109.0
0,1.0,141673.0,182304415.0
0,1.0,69904.0,236667137.0
2,1.0,147837.0,437453846.0
0,1.0,87723.0,485201915.0
0,1.0,119624.0,510423550.0
1,2.0,236150.0,1088425542.0
3,1.0,14038.0,797915873.0
0,1.0,54981.0,145080984.0
1,2.0,172230.0,287862043.0
1,2.0,155149.0,1193997595.0
2,1.0,219597.0,487406074.0
3,1.0,98740.0,780745482.0
0,1.0,88995.0,120038054.0
